,index,message,category,message_length,message_parsed
101,101,กรอก 3 ชั่วโมง ต่อ สัปดาห์,S,26,กรอก   ชั่วโมง    
102,102,ตรงชั่วโมงตรวจการบ้าน กรอกอิงจากอะไรหรอครับ,S,43,ชั่วโมง ตรวจ การบ้าน  
105,105,แล้วก็ ให้อ.สุธน เซ็น ด้วยนะคะ,T,30,แล้วก็   สุ ธน   เซ็น  
110,110,ครั้งที่แล้วยังไม่ส่งเอกสารเบิกจ่ายหรือค่ะ,Q,42,
111,111,หลังจากนั้น คณะจะทำเรื่องเบิกเงินให้ค่ะ,T,39,หลังจากนั้น  
112,112,เช่น สิ้นเดือน มกรา ก็ให้ส่ง ต้นเดือนกุมภาค่ะ,S,45,  สิ้นเดือน   มกรา    
113,113,พี่จะส่งทุก ทุกวันที่ 1 ของเดือนถัดไปที่เรา ทำงานค่ะ,S,52,พี่   วันที่   เดือน ถัดไป  
114,114,เอกสาร ส่งเหมือนตอนเดือน ธันวาค่ะ,S,33,เอกสาร   เหมือน ตอน เดือน  
115,115,สวัสดีครับพี่มล ตอนนี้ผมคิดว่าจะทำเรื่องเบิกเงิน TA รายวิชา 240-124 ครับ แต่ยังไม่เคยทำ TA เลยยังไม่ทราบรายละเอียดสักเท่าไหร่เลยครับ รบกวนพี่มลแจ้งช่องทางหรือบอกรายละเอียดได้ไหมครับ ขอบคุณครับ,T,192,สวัสดี พี่ มล   ตอนนี้ ผม ทำ เรื่อง เบิกเงิน   ta   รายวิชา     ทำ   ta   ทราบ รายละเอียด สัก   รบกวน พี่ มล แจ้ง ช่องทาง รายละเอียด ไหม  
119,119,สะดวกคุยไหม,Q,11,
120,120,ต้องเป็นเอกสารแบบไหนหรอครับ,Q,27,
122,122,ขอโทษครับเดี๋ยวจะส่งกลับมาใหม่อีกครั้งนะครับ,A,44,
123,123,ส่งผิดแบบฟอร์ม แล้วค่ะ,A,22,แบบฟอร์ม  
127,127,สวัสดิ์ดีครับ ผมขออนุญาติส่งเอกสารฝึกงานนะครับ,A,46,สวัสดิ์ ดี  
130,130,ทำงาน 3 ชม.ต่อสัปดาห์นะคะ,S,25,ทำงาน  
131,131,"อันนี้ คือช่วงเวลาเรียน
จันทร์ 11.00 - 11.50
พุธ 09.00 - 10.50
ศุกร์ 10.30 - 11.50

แต่เวลาทำงาน น่าจะนอกเวลา นะคะ",S,114,อันนี้   เวลาเรียน   จันทร์   พุธ   ศุกร์   เวลาทำงาน   นอกเวลา  
133,133,"พี่ทาบทาม เราเป็น TA
FUNDA MATHEMATICS FOR ENGINEER
แม็ท ของ ปี 1
ได้ไหม
งาน คือ ติว กับตราจการบ้าน
ทำกับ อ.มนตรี และอ.ธเนศ",T,123,พี่ ทาบทาม     ta   funda   mathematics   for   engineer   แม็ท     ปี   ไหม   งาน     ติว   ตรา จ การบ้าน   ทำ   มนตรี  
